                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6499,                 4.1495,                 4.2515,                0.00537,                0.11957,                0.00425,                0.00193,                 3.5699,                 4.1261,                 4.1476,                 0.0928,                 0.0008,                 0.0008
                      1,                 3.4974,                 4.0209,                 4.2088,                0.00485,                 0.1016,                0.00349,                0.00145,                 3.5535,                 3.9474,                 4.1177,               0.084683,              0.0016832,              0.0016832
                      2,                 3.6684,                 3.8942,                 4.1816,                 0.0047,                0.10691,                0.00317,                 0.0013,                 3.5387,                 3.8872,                 4.0918,               0.076549,              0.0025485,              0.0025485
                      3,                 3.5488,                 3.7669,                 4.1464,                0.00432,                0.10026,                0.00346,                0.00138,                 3.5236,                  3.782,                 4.0674,               0.068396,               0.003396,               0.003396
                      4,                 3.6765,                 3.7018,                 4.1222,                0.00432,                0.08869,                0.00283,                0.00111,                 3.5046,                 3.7293,                 4.0403,               0.060226,              0.0042258,              0.0042258
                      5,                 3.4929,                 3.6336,                 4.0858,                0.00326,                0.08552,                0.00248,                0.00104,                 3.4896,                 3.7471,                 4.0174,               0.052038,              0.0050376,              0.0050376
                      6,                 3.4386,                 3.4957,                 4.0429,                0.00326,                0.08552,                0.00248,                0.00104,                  3.474,                 3.6795,                 3.9974,               0.043832,              0.0058317,              0.0058317
                      7,                 3.5345,                 3.4948,                 4.0018,                0.00211,                0.12025,                0.00194,                0.00079,                 3.4522,                 3.6678,                 3.9765,               0.035608,               0.006608,               0.006608
                      8,                  3.391,                 3.2987,                 3.9154,                0.00214,                0.12184,                0.00196,                 0.0008,                 3.4248,                 3.7241,                 3.9556,               0.027366,              0.0073664,              0.0073664
                      9,                 3.3762,                 3.1557,                 3.8108,                0.00217,                0.12342,                0.00257,                0.00096,                 3.4076,                 3.6683,                 3.9441,               0.019107,               0.008107,               0.008107
                     10,                 3.2008,                 3.0789,                 3.7405,                0.00217,                0.12342,                0.00204,                0.00083,                 3.4203,                 3.7171,                 3.9511,                0.01083,              0.0088298,              0.0088298
                     11,                 3.2514,                  3.053,                 3.6709,                0.00245,                0.13924,                0.00224,                0.00093,                 3.4365,                 3.7396,                 3.9811,               0.008911,               0.008911,               0.008911
                     12,                 3.1196,                  2.915,                 3.5741,                0.00214,                0.11867,                0.00174,                0.00064,                 3.3759,                 3.6696,                 3.9129,               0.008911,               0.008911,               0.008911
                     13,                 3.0952,                 2.8916,                 3.5462,                0.00903,                 0.1984,                 0.0085,                0.00267,                 3.1685,                 3.4776,                 3.6646,               0.008812,               0.008812,               0.008812
                     14,                 3.0781,                 2.8872,                 3.5063,                0.33275,                0.07956,                0.04619,                 0.0148,                 2.9413,                 3.1106,                 3.3841,               0.008713,               0.008713,               0.008713
                     15,                 2.9475,                 2.8669,                 3.4443,                0.33937,                0.17719,                0.08144,                0.02335,                 2.7773,                 3.2645,                 3.3091,               0.008614,               0.008614,               0.008614
                     16,                 2.8666,                 2.7259,                 3.3421,                 0.0978,                0.12149,                0.07324,                 0.0244,                 2.7613,                 5.1943,                 3.4052,               0.008515,               0.008515,               0.008515
                     17,                 2.8132,                 2.7132,                 3.3079,                0.34311,                 0.2603,                0.10569,                0.03666,                 2.6418,                 5.5897,                 3.3572,               0.008416,               0.008416,               0.008416
                     18,                  2.753,                 2.6085,                 3.2183,                0.65069,                0.19148,                0.14957,                0.05695,                 2.5512,                 3.2451,                 3.1348,               0.008317,               0.008317,               0.008317
                     19,                 2.6297,                 2.5443,                 3.1084,                0.36216,                0.21583,                0.14436,                0.05423,                 2.4737,                 3.0672,                 3.1347,               0.008218,               0.008218,               0.008218
                     20,                 2.5987,                 2.4852,                 3.0319,                  0.726,                0.19239,                0.19406,                0.06718,                  2.393,                 3.7373,                 3.0048,               0.008119,               0.008119,               0.008119
                     21,                 2.5864,                 2.4881,                 3.0315,                0.40837,                0.23101,                0.19105,                0.06744,                 2.3565,                  2.549,                 2.9495,                0.00802,                0.00802,                0.00802
                     22,                 2.4635,                 2.3721,                 2.9585,                0.69656,                0.23772,                0.21602,                0.07583,                 2.4234,                 2.4665,                 2.9709,               0.007921,               0.007921,               0.007921
                     23,                 2.5467,                 2.4037,                 2.9388,                0.72516,                0.15201,                0.19206,                0.08134,                 2.3083,                 2.5047,                 2.8587,               0.007822,               0.007822,               0.007822
                     24,                 2.3471,                 2.2501,                 2.8901,                0.72764,                0.19596,                0.20226,                0.08251,                 2.3183,                 2.4693,                  2.797,               0.007723,               0.007723,               0.007723
                     25,                 2.3394,                 2.3152,                 2.8642,                0.69335,                0.24313,                  0.223,                0.09125,                 2.2479,                 2.3365,                 2.7551,               0.007624,               0.007624,               0.007624
                     26,                 2.2459,                 2.1432,                 2.7607,                0.49653,                0.33317,                0.25329,                0.10151,                 2.2146,                   2.71,                 2.7545,               0.007525,               0.007525,               0.007525
                     27,                   2.19,                 2.0923,                 2.6903,                 0.2703,                0.38332,                0.29035,                0.13159,                 2.0428,                 2.4897,                 2.5418,               0.007426,               0.007426,               0.007426
                     28,                 2.1319,                 2.0378,                 2.6197,                0.73831,                0.29952,                0.30322,                0.14051,                 2.0483,                 2.4667,                 2.5511,               0.007327,               0.007327,               0.007327
                     29,                 2.1077,                 2.0674,                 2.6289,                0.67739,                0.38688,                0.32457,                 0.1323,                 2.0135,                 2.6004,                 2.4593,               0.007228,               0.007228,               0.007228
                     30,                 2.0804,                 2.0229,                 2.6118,                0.33701,                0.51148,                0.35187,                 0.1605,                 1.9971,                 2.3523,                 2.4552,               0.007129,               0.007129,               0.007129
                     31,                 2.0614,                 1.9437,                 2.5057,                0.35492,                0.43859,                   0.35,                 0.1561,                 1.9608,                 2.4239,                 2.3938,                0.00703,                0.00703,                0.00703
                     32,                 1.9999,                 1.9253,                 2.4482,                0.29868,                0.48753,                0.35215,                0.15618,                 1.9456,                 2.3813,                 2.3825,               0.006931,               0.006931,               0.006931
                     33,                 1.9199,                  1.734,                 2.4067,                0.58514,                0.36903,                0.37254,                0.17743,                 1.9219,                 2.0848,                 2.3611,               0.006832,               0.006832,               0.006832
                     34,                 1.8756,                 1.7708,                 2.4328,                0.34145,                0.40142,                0.38912,                0.18362,                 1.8477,                 2.0285,                 2.2977,               0.006733,               0.006733,               0.006733
